PROPERTY_ID,CITY_ID,DEVELOPER_ID,PROPERTY_TYPE,SEGMENT,BHK,AREA_SQFT,POSSESSION_YEAR,PROJECT_STATUS,AMENITY_TIER,RERA_ID,UPDATED_AT
PR000015,CI064,DV077021,VILLA,MID,1,1361,2030,LAUNCHED,LUXURY,RERA-457528,7/25/2025 22:25
PR000016,CI070,DV091922,RETAIL,MID,0,1001,2025,READY,BASIC,RERA-657877,10/11/2025 5:27
PR000017,CI068,DV241998,OFFICE,COMMERCIAL,3,4765,2025,READY,LUXURY,RERA-543978,10/30/2025 16:01
PR000018,CI057,DV177341,APARTMENT,AFFORDABLE,2,1471,2028,UNDER_CONSTRUCTION,PREMIUM,RERA-548538,4/24/2025 5:19
PR000019,CI091,DV022970,RETAIL,AFFORDABLE,5,2966,2029,UNDER_CONSTRUCTION,PREMIUM,RERA-671969,8/2/2025 0:44
PR000020,CI022,DV235208,PLOT,AFFORDABLE,1,2926,2027,LAUNCHED,STANDARD,RERA-177755,7/16/2025 4:19
PR000021,CI098,DV218828,VILLA,LUXURY,3,2461,2027,LAUNCHED,BASIC,RERA-648707,5/17/2025 7:07
PR000022,CI073,DV210168,RETAIL,MID,4,6480,2027,UNDER_CONSTRUCTION,LUXURY,RERA-176069,9/9/2025 22:32
PR000023,CI028,DV145134,OFFICE,COMMERCIAL,1,4625,2026,READY,STANDARD,RERA-392632,10/24/2025 11:41
PR000024,CI033,DV202906,VILLA,PREMIUM,2,3522,2025,READY,LUXURY,RERA-736701,10/20/2025 12:50
PR000025,CI056,DV214830,APARTMENT,MID,5,2266,2027,READY,STANDARD,RERA-777488,3/17/2025 20:47
PR000026,CI011,DV028052,PLOT,AFFORDABLE,0,2667,2025,UNDER_CONSTRUCTION,LUXURY,RERA-828740,8/17/2025 18:19
PR000027,CI023,DV290854,RETAIL,LUXURY,5,3934,2029,LAUNCHED,PREMIUM,RERA-513624,8/13/2025 15:23
PR000028,CI007,DV198302,PLOT,COMMERCIAL,4,6401,2028,LAUNCHED,LUXURY,RERA-214528,7/13/2025 0:36
PR000029,CI045,DV142856,RETAIL,LUXURY,5,8194,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-617831,9/2/2025 23:22
PR000030,CI052,DV035119,OFFICE,COMMERCIAL,0,7930,2026,READY,BASIC,RERA-746613,8/29/2025 17:41
PR000031,CI027,DV110147,RETAIL,MID,1,5281,2030,UNDER_CONSTRUCTION,LUXURY,RERA-911136,2/9/2025 20:50
PR000032,CI043,DV291199,APARTMENT,PREMIUM,2,1592,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-771172,3/24/2025 1:28
PR000033,CI039,DV283475,VILLA,AFFORDABLE,3,2293,2029,READY,BASIC,RERA-417559,6/27/2025 0:45
PR000034,CI095,DV263212,APARTMENT,MID,4,3104,2026,LAUNCHED,PREMIUM,RERA-900135,5/29/2025 19:47
PR000035,CI044,DV218846,RETAIL,PREMIUM,4,4174,2028,READY,PREMIUM,RERA-276647,6/13/2025 10:37
PR000036,CI065,DV096436,VILLA,COMMERCIAL,5,6184,2028,LAUNCHED,LUXURY,RERA-755287,6/23/2025 5:45
PR000037,CI030,DV114487,PLOT,COMMERCIAL,0,4434,2029,READY,BASIC,RERA-517802,8/14/2025 23:08
PR000038,CI062,DV023618,VILLA,LUXURY,5,2080,2027,READY,BASIC,RERA-763796,10/18/2025 12:46
PR000039,CI022,DV293797,OFFICE,MID,1,4423,2026,READY,STANDARD,RERA-564069,7/5/2025 9:31
PR000040,CI036,DV005794,OFFICE,MID,3,6052,2029,LAUNCHED,LUXURY,RERA-900635,1/15/2026 14:34
PR000041,CI032,DV269787,PLOT,AFFORDABLE,0,2331,2025,READY,STANDARD,RERA-920599,4/4/2025 18:16
PR000042,CI076,DV263034,RETAIL,LUXURY,1,6338,2027,UNDER_CONSTRUCTION,BASIC,RERA-522239,9/16/2025 15:35
PR000043,CI094,DV127944,RETAIL,LUXURY,2,7155,2025,UNDER_CONSTRUCTION,LUXURY,RERA-261029,7/5/2025 1:00
PR000044,CI041,DV244463,PLOT,LUXURY,4,7981,2030,UNDER_CONSTRUCTION,LUXURY,RERA-942172,4/5/2025 18:54
PR000045,CI019,DV276176,OFFICE,COMMERCIAL,3,7670,2027,READY,LUXURY,RERA-984469,11/21/2025 6:05
PR000046,CI036,DV182361,APARTMENT,PREMIUM,0,1011,2027,LAUNCHED,STANDARD,RERA-597539,12/19/2025 10:04
PR000047,CI035,DV234151,VILLA,PREMIUM,4,3038,2028,LAUNCHED,STANDARD,RERA-969238,9/19/2025 9:56
PR000048,CI010,DV166932,PLOT,PREMIUM,4,7060,2026,READY,STANDARD,RERA-459368,2/15/2025 14:02
PR000049,CI017,DV281447,PLOT,PREMIUM,4,1957,2025,UNDER_CONSTRUCTION,BASIC,RERA-509651,7/16/2025 11:05
PR000050,CI002,DV224934,PLOT,COMMERCIAL,3,3363,2028,LAUNCHED,STANDARD,RERA-377544,9/7/2025 14:16
PR000051,CI002,DV170441,APARTMENT,PREMIUM,5,4233,2027,UNDER_CONSTRUCTION,PREMIUM,RERA-994561,11/22/2025 21:28
PR000052,CI077,DV214772,VILLA,LUXURY,5,6743,2027,UNDER_CONSTRUCTION,BASIC,RERA-386776,2/13/2025 20:13
PR000053,CI099,DV245035,OFFICE,MID,4,2414,2026,READY,LUXURY,RERA-480205,12/3/2025 19:04
PR000054,CI041,DV033415,VILLA,LUXURY,5,7303,2025,UNDER_CONSTRUCTION,BASIC,RERA-555201,4/29/2025 4:25
PR000055,CI022,DV010102,PLOT,COMMERCIAL,4,1490,2030,LAUNCHED,STANDARD,RERA-404478,7/3/2025 15:45
PR000056,CI092,DV042751,RETAIL,LUXURY,3,8965,2025,READY,STANDARD,RERA-196990,9/22/2025 5:09
PR000057,CI097,DV038582,APARTMENT,COMMERCIAL,0,4824,2026,READY,BASIC,RERA-804370,12/27/2025 18:04
PR000058,CI048,DV246049,PLOT,PREMIUM,4,3780,2029,UNDER_CONSTRUCTION,PREMIUM,RERA-835705,10/26/2025 3:56
PR000059,CI035,DV298726,OFFICE,LUXURY,5,3136,2028,LAUNCHED,STANDARD,RERA-446168,3/26/2025 9:48
PR000060,CI023,DV204095,RETAIL,PREMIUM,1,8414,2029,UNDER_CONSTRUCTION,BASIC,RERA-531049,1/23/2026 0:59
PR000061,CI096,DV064084,APARTMENT,PREMIUM,1,5458,2025,UNDER_CONSTRUCTION,LUXURY,RERA-402464,6/17/2025 12:08
PR000062,CI059,DV241802,VILLA,AFFORDABLE,3,2010,2030,READY,STANDARD,RERA-481091,3/1/2025 14:30
PR000063,CI095,DV106972,APARTMENT,COMMERCIAL,1,4892,2027,READY,PREMIUM,RERA-314633,3/7/2025 7:03
PR000064,CI012,DV231589,OFFICE,AFFORDABLE,5,2327,2027,LAUNCHED,LUXURY,RERA-160115,2/27/2025 13:54
PR000065,CI009,DV087597,RETAIL,LUXURY,1,3510,2026,UNDER_CONSTRUCTION,STANDARD,RERA-583611,7/9/2025 5:55
PR000066,CI009,DV119798,PLOT,PREMIUM,2,2329,2025,READY,PREMIUM,RERA-754045,4/12/2025 7:44
PR000067,CI059,DV049441,APARTMENT,COMMERCIAL,5,3313,2027,READY,STANDARD,RERA-799802,8/17/2025 16:57
PR000068,CI007,DV013405,APARTMENT,COMMERCIAL,3,5801,2026,UNDER_CONSTRUCTION,STANDARD,RERA-388930,7/27/2025 7:25
PR000069,CI070,DV029811,OFFICE,COMMERCIAL,0,1072,2026,UNDER_CONSTRUCTION,BASIC,RERA-681084,2/27/2025 17:02
PR000070,CI059,DV197051,PLOT,COMMERCIAL,3,8735,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-618512,1/13/2026 12:56
PR000071,CI038,DV261993,OFFICE,COMMERCIAL,4,2966,2027,UNDER_CONSTRUCTION,STANDARD,RERA-409900,6/18/2025 17:26
PR000072,CI009,DV130787,RETAIL,MID,5,7878,2029,LAUNCHED,BASIC,RERA-370846,6/20/2025 16:36
PR000073,CI090,DV199046,APARTMENT,MID,0,4804,2029,READY,PREMIUM,RERA-262488,8/4/2025 21:17
PR000074,CI041,DV032870,APARTMENT,LUXURY,0,5648,2027,LAUNCHED,STANDARD,RERA-731227,7/13/2025 0:21
PR000075,CI077,DV206464,RETAIL,AFFORDABLE,0,5256,2026,UNDER_CONSTRUCTION,BASIC,RERA-293623,3/18/2025 18:22
PR000076,CI061,DV214277,INDUSTRIAL,MID,0,3082,2030,READY,LUXURY,RERA-901129,1/1/2026 5:30
PR000077,CI015,DV108200,PLOT,PREMIUM,3,4383,2026,LAUNCHED,LUXURY,RERA-178665,5/9/2025 11:03
PR000078,CI073,DV040101,APARTMENT,PREMIUM,5,6723,2025,LAUNCHED,STANDARD,RERA-895650,9/27/2025 6:23
PR000079,CI036,DV143796,RETAIL,LUXURY,3,1004,2026,LAUNCHED,BASIC,RERA-214835,5/25/2025 3:31
PR000080,CI054,DV280414,RETAIL,COMMERCIAL,2,6237,2029,UNDER_CONSTRUCTION,PREMIUM,RERA-177008,10/14/2025 2:36
PR000081,CI049,DV049541,VILLA,LUXURY,3,6918,2025,UNDER_CONSTRUCTION,BASIC,RERA-772274,11/18/2025 3:24
PR000082,CI086,DV206290,RETAIL,PREMIUM,1,614,2028,UNDER_CONSTRUCTION,PREMIUM,RERA-600451,7/9/2025 10:56
PR000083,CI019,DV165174,VILLA,COMMERCIAL,5,6718,2028,READY,BASIC,RERA-274206,9/5/2025 5:23
PR000084,CI027,DV101177,VILLA,MID,1,766,2028,UNDER_CONSTRUCTION,BASIC,RERA-494085,9/13/2025 15:36
PR000085,CI031,DV108357,VILLA,COMMERCIAL,3,5551,2030,LAUNCHED,BASIC,RERA-865442,7/25/2025 20:57
PR000086,CI013,DV092291,RETAIL,MID,4,6068,2030,UNDER_CONSTRUCTION,BASIC,RERA-543882,12/14/2025 1:29
PR000087,CI037,DV006398,OFFICE,COMMERCIAL,5,4271,2030,UNDER_CONSTRUCTION,STANDARD,RERA-619383,6/24/2025 1:18
PR000088,CI058,DV070455,OFFICE,COMMERCIAL,0,2488,2029,READY,STANDARD,RERA-268330,3/1/2025 13:19
PR000089,CI091,DV258021,OFFICE,AFFORDABLE,4,1748,2025,READY,PREMIUM,RERA-250073,9/25/2025 5:34
PR000090,CI058,DV173406,OFFICE,AFFORDABLE,2,4047,2025,LAUNCHED,LUXURY,RERA-516520,2/12/2025 11:51
PR000091,CI018,DV186951,OFFICE,COMMERCIAL,0,2628,2026,LAUNCHED,STANDARD,RERA-412356,8/28/2025 3:23
PR000092,CI014,DV211231,PLOT,PREMIUM,2,2433,2025,LAUNCHED,STANDARD,RERA-694530,3/10/2025 5:57
PR000093,CI093,DV030318,PLOT,LUXURY,2,6360,2030,LAUNCHED,LUXURY,RERA-497434,2/2/2026 5:46
PR000094,CI095,DV135528,PLOT,AFFORDABLE,1,1566,2027,UNDER_CONSTRUCTION,BASIC,RERA-931452,7/15/2025 11:13
PR000095,CI008,DV141382,APARTMENT,MID,4,5718,2030,READY,LUXURY,RERA-394673,10/3/2025 17:50
PR000096,CI024,DV087823,OFFICE,AFFORDABLE,3,5555,2029,READY,PREMIUM,RERA-733661,9/7/2025 22:28
PR000097,CI063,DV201069,OFFICE,PREMIUM,2,2602,2028,READY,STANDARD,RERA-687119,2/1/2026 8:08
PR000098,CI043,DV081406,VILLA,AFFORDABLE,5,3256,2025,UNDER_CONSTRUCTION,LUXURY,RERA-155114,10/27/2025 0:40
PR000099,CI103,DV139091,APARTMENT,AFFORDABLE,5,2763,2026,READY,LUXURY,RERA-562566,11/28/2025 12:20
PR000100,CI077,DV255242,APARTMENT,COMMERCIAL,0,8539,2027,UNDER_CONSTRUCTION,STANDARD,RERA-503588,9/6/2025 8:38
PR000101,CI061,DV232108,APARTMENT,COMMERCIAL,5,3690,2025,UNDER_CONSTRUCTION,STANDARD,RERA-879783,10/16/2025 16:39
PR000102,CI072,DV279923,VILLA,MID,1,7046,2025,UNDER_CONSTRUCTION,LUXURY,RERA-722906,8/20/2025 4:41
PR000103,CI036,DV092027,PLOT,COMMERCIAL,0,3889,2027,READY,BASIC,RERA-358326,8/4/2025 8:11
PR000104,CI055,DV257943,APARTMENT,PREMIUM,5,3684,2026,READY,STANDARD,RERA-763017,8/8/2025 11:10
PR000105,CI055,DV030982,PLOT,AFFORDABLE,4,1883,2029,UNDER_CONSTRUCTION,PREMIUM,RERA-808235,11/3/2025 6:40
PR000106,CI101,DV266498,APARTMENT,COMMERCIAL,4,6661,2026,UNDER_CONSTRUCTION,LUXURY,RERA-885244,6/30/2025 19:39
PR000107,CI080,DV248387,OFFICE,AFFORDABLE,0,631,2026,LAUNCHED,PREMIUM,RERA-583858,10/4/2025 12:23
PR000108,CI071,DV098134,VILLA,PREMIUM,4,1636,2030,READY,BASIC,RERA-252358,9/13/2025 3:39
PR000109,CI095,DV119242,VILLA,MID,5,1506,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-929579,1/31/2026 17:48
PR000110,CI079,DV143295,PLOT,AFFORDABLE,3,4342,2028,READY,LUXURY,RERA-728325,10/1/2025 8:50
PR000111,CI024,DV075451,APARTMENT,COMMERCIAL,2,2292,2025,READY,LUXURY,RERA-694757,7/23/2025 7:20
PR000112,CI080,DV243314,RETAIL,LUXURY,3,1854,2030,LAUNCHED,PREMIUM,RERA-786363,5/14/2025 19:12
PR000113,CI058,DV177159,OFFICE,AFFORDABLE,1,5964,2030,LAUNCHED,LUXURY,RERA-644346,6/25/2025 17:16
PR000114,CI007,DV098541,APARTMENT,MID,3,1759,2026,LAUNCHED,STANDARD,RERA-293304,12/14/2025 8:30
PR000115,CI053,DV243993,VILLA,COMMERCIAL,1,7094,2025,UNDER_CONSTRUCTION,STANDARD,RERA-808063,8/2/2025 1:35
PR000116,CI042,DV207541,APARTMENT,PREMIUM,3,3844,2026,UNDER_CONSTRUCTION,STANDARD,RERA-287318,7/23/2025 23:38
PR000117,CI028,DV177951,RETAIL,MID,5,6768,2026,READY,STANDARD,RERA-261219,5/27/2025 13:30
PR000118,CI091,DV219941,VILLA,MID,2,5479,2026,READY,LUXURY,RERA-872197,9/7/2025 5:32
PR000119,CI092,DV204884,APARTMENT,PREMIUM,3,2010,2030,UNDER_CONSTRUCTION,LUXURY,RERA-194228,6/21/2025 23:15
PR000120,CI053,DV081258,VILLA,MID,4,4401,2027,READY,LUXURY,RERA-297728,7/30/2025 5:27
PR000121,CI078,DV099137,APARTMENT,COMMERCIAL,0,1942,2028,READY,LUXURY,RERA-238595,9/13/2025 18:49
PR000122,CI032,DV228359,OFFICE,COMMERCIAL,4,1845,2030,READY,BASIC,RERA-988708,4/3/2025 19:44
PR000123,CI068,DV217412,APARTMENT,MID,2,3487,2029,READY,PREMIUM,RERA-844729,1/30/2026 19:18
PR000124,CI008,DV177669,VILLA,AFFORDABLE,5,1240,2025,READY,LUXURY,RERA-112853,6/1/2025 1:47
PR000125,CI020,DV238037,APARTMENT,MID,0,4358,2025,READY,PREMIUM,RERA-411850,2/13/2025 19:21
PR000126,CI011,DV282301,PLOT,LUXURY,5,8375,2027,READY,PREMIUM,RERA-657424,7/1/2025 9:52
PR000127,CI077,DV263299,PLOT,LUXURY,5,4481,2029,LAUNCHED,PREMIUM,RERA-464553,8/14/2025 18:06
PR000128,CI018,DV293679,PLOT,LUXURY,0,4000,2026,LAUNCHED,LUXURY,RERA-209159,7/15/2025 5:49
PR000129,CI086,DV016025,VILLA,MID,2,6154,2029,READY,BASIC,RERA-172581,8/26/2025 2:52
PR000130,CI090,DV184563,OFFICE,COMMERCIAL,1,1919,2025,LAUNCHED,BASIC,RERA-536744,4/8/2025 11:18
PR000131,CI089,DV075872,APARTMENT,AFFORDABLE,2,1803,2028,LAUNCHED,LUXURY,RERA-601882,3/29/2025 20:07
PR000132,CI015,DV034717,RETAIL,AFFORDABLE,2,5072,2029,LAUNCHED,PREMIUM,RERA-181431,2/6/2025 7:18
PR000133,CI082,DV157178,PLOT,LUXURY,3,4356,2026,LAUNCHED,PREMIUM,RERA-510489,7/4/2025 15:19
PR000134,CI089,DV266057,VILLA,MID,2,7302,2030,LAUNCHED,PREMIUM,RERA-950570,4/19/2025 14:37
PR000135,CI037,DV084621,OFFICE,LUXURY,0,8126,2030,READY,BASIC,RERA-236869,12/6/2025 3:54
PR000136,CI019,DV077687,RETAIL,COMMERCIAL,5,8091,2028,LAUNCHED,PREMIUM,RERA-369297,11/23/2025 12:53
PR000137,CI099,DV292766,APARTMENT,AFFORDABLE,3,3286,2029,UNDER_CONSTRUCTION,STANDARD,RERA-852101,12/25/2025 21:36
PR000138,CI092,DV061566,APARTMENT,COMMERCIAL,4,2079,2028,LAUNCHED,BASIC,RERA-158568,7/2/2025 0:53
PR000139,CI085,DV116149,PLOT,AFFORDABLE,1,4503,2027,UNDER_CONSTRUCTION,STANDARD,RERA-891071,9/14/2025 19:35
PR000140,CI051,DV067635,OFFICE,LUXURY,5,3096,2027,UNDER_CONSTRUCTION,PREMIUM,RERA-779007,3/10/2025 20:28
PR000141,CI025,DV146124,RETAIL,COMMERCIAL,4,8725,2030,READY,LUXURY,RERA-756843,2/7/2025 17:44
PR000142,CI067,DV103308,PLOT,MID,2,4488,2029,READY,BASIC,RERA-277529,11/9/2025 5:28
PR000143,CI010,DV123318,VILLA,COMMERCIAL,3,2911,2030,UNDER_CONSTRUCTION,PREMIUM,RERA-348142,1/27/2026 4:43
PR000144,CI064,DV155476,VILLA,COMMERCIAL,0,2757,2025,UNDER_CONSTRUCTION,PREMIUM,RERA-651727,9/29/2025 8:04
PR000145,CI042,DV272354,APARTMENT,LUXURY,0,4629,2026,READY,PREMIUM,RERA-218793,11/28/2025 11:09
PR000146,CI013,DV101474,PLOT,AFFORDABLE,2,696,2025,READY,PREMIUM,RERA-860080,3/25/2025 21:04
PR000147,CI018,DV140708,APARTMENT,PREMIUM,4,903,2015,UNDER_CONSTRUCTION,PREMIUM,RERA-447672,11/12/2025 20:50
PR000148,CI020,DV206526,VILLA,MID,3,2185,2028,LAUNCHED,BASIC,RERA-435823,2/14/2025 20:34
PR000149,CI026,DV258370,RETAIL,AFFORDABLE,1,6882,2030,UNDER_CONSTRUCTION,BASIC,RERA-465176,5/26/2025 11:03
PR000150,CI009,DV277069,APARTMENT,LUXURY,1,3770,2030,LAUNCHED,STANDARD,RERA-598439,12/26/2025 20:54
PR000151,CI006,DV209247,PLOT,MID,3,2723,2029,UNDER_CONSTRUCTION,LUXURY,RERA-362363,9/2/2025 19:09
PR000152,CI049,DV129169,APARTMENT,COMMERCIAL,0,4115,2028,READY,PREMIUM,RERA-874428,3/23/2025 18:56
PR000153,CI083,DV251619,PLOT,COMMERCIAL,3,3671,2027,READY,STANDARD,RERA-186810,2/7/2025 22:26
PR000154,CI046,DV090652,PLOT,PREMIUM,2,7880,2026,UNDER_CONSTRUCTION,BASIC,RERA-267430,6/29/2025 20:19
PR000155,CI022,DV293429,RETAIL,MID,3,4541,2025,READY,BASIC,RERA-703032,1/19/2026 16:13
PR000156,CI058,DV170404,VILLA,COMMERCIAL,5,5351,2025,UNDER_CONSTRUCTION,STANDARD,RERA-417712,3/23/2025 6:38
PR000157,CI021,DV230143,RETAIL,MID,1,8865,2030,READY,LUXURY,RERA-649436,7/4/2025 0:46
PR000158,CI077,DV051033,RETAIL,PREMIUM,5,4254,2028,LAUNCHED,STANDARD,RERA-807866,11/1/2025 9:35
PR000159,CI092,DV236987,RETAIL,PREMIUM,0,4804,2030,UNDER_CONSTRUCTION,STANDARD,RERA-453368,8/28/2025 6:26
PR000160,CI100,DV283833,OFFICE,LUXURY,1,806,2030,READY,BASIC,RERA-977603,8/29/2025 10:47
PR000161,CI092,DV049187,PLOT,COMMERCIAL,1,4860,2026,LAUNCHED,PREMIUM,RERA-613697,9/28/2025 6:08
PR000162,CI099,DV117455,PLOT,MID,1,1261,2025,UNDER_CONSTRUCTION,BASIC,RERA-392920,8/30/2025 12:52
PR000163,CI054,DV152683,APARTMENT,AFFORDABLE,0,6357,2025,LAUNCHED,PREMIUM,RERA-579321,3/19/2025 16:33
PR000164,CI085,DV010785,OFFICE,AFFORDABLE,5,4238,2029,LAUNCHED,STANDARD,RERA-930606,7/10/2025 9:18
PR000165,CI081,DV277221,OFFICE,PREMIUM,0,7894,2026,UNDER_CONSTRUCTION,STANDARD,RERA-415059,2/16/2025 6:13
PR000166,CI069,DV026561,RETAIL,COMMERCIAL,3,2833,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-289827,8/30/2025 12:17
PR000167,CI018,DV263142,OFFICE,PREMIUM,0,511,2029,LAUNCHED,STANDARD,RERA-679380,4/11/2025 12:04
PR000168,CI061,DV167264,RETAIL,AFFORDABLE,0,2979,2026,LAUNCHED,LUXURY,RERA-844155,1/29/2026 1:13
PR000169,CI050,DV069755,RETAIL,AFFORDABLE,5,778,2029,READY,STANDARD,RERA-917264,12/25/2025 10:07
PR000170,CI053,DV066452,OFFICE,MID,1,8550,2028,READY,BASIC,RERA-170180,10/13/2025 0:03
PR000171,CI072,DV255430,VILLA,LUXURY,1,633,2030,READY,STANDARD,RERA-620261,9/24/2025 11:16
PR000172,CI071,DV058184,OFFICE,AFFORDABLE,3,2977,2029,LAUNCHED,PREMIUM,RERA-865469,6/1/2025 23:43
PR000173,CI078,DV022585,VILLA,MID,2,4447,2026,UNDER_CONSTRUCTION,LUXURY,RERA-979810,12/30/2025 5:31
PR000174,CI015,DV072369,OFFICE,MID,1,4230,2027,READY,PREMIUM,RERA-553813,1/30/2026 1:08
PR000175,CI056,DV232138,RETAIL,AFFORDABLE,4,7901,2028,READY,STANDARD,RERA-731981,12/28/2025 4:06
PR000176,CI103,DV122047,RETAIL,MID,4,2106,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-615305,8/26/2025 16:11
PR000177,CI038,DV004858,PLOT,PREMIUM,5,2259,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-358481,5/26/2025 11:18
PR000178,CI074,DV116337,VILLA,COMMERCIAL,4,8469,2026,UNDER_CONSTRUCTION,BASIC,RERA-853866,5/7/2025 23:56
PR000179,CI052,DV184632,APARTMENT,COMMERCIAL,4,5792,2029,LAUNCHED,PREMIUM,RERA-383702,8/29/2025 5:09
PR000180,CI040,DV044985,RETAIL,LUXURY,2,8606,2027,LAUNCHED,PREMIUM,RERA-877663,10/12/2025 5:22
PR000181,CI041,DV073508,PLOT,AFFORDABLE,4,4793,2028,UNDER_CONSTRUCTION,PREMIUM,RERA-458724,10/7/2025 22:28
PR000182,CI072,DV288410,OFFICE,LUXURY,0,6967,2025,UNDER_CONSTRUCTION,PREMIUM,RERA-163639,6/16/2025 17:43
PR000183,CI083,DV136729,APARTMENT,AFFORDABLE,4,6836,2030,UNDER_CONSTRUCTION,BASIC,RERA-686179,10/3/2025 13:04
PR000184,CI045,DV028639,VILLA,MID,0,4590,2025,LAUNCHED,PREMIUM,RERA-272349,10/29/2025 20:50
PR000185,CI026,DV136204,VILLA,COMMERCIAL,1,3556,2029,UNDER_CONSTRUCTION,PREMIUM,RERA-251712,12/17/2025 20:40
PR000186,CI078,DV171622,OFFICE,COMMERCIAL,2,4143,2026,READY,PREMIUM,RERA-993965,12/17/2025 18:25
PR000187,CI059,DV290027,VILLA,MID,2,4913,2029,READY,PREMIUM,RERA-503270,4/1/2025 11:08
PR000188,CI042,DV052365,OFFICE,LUXURY,1,1283,2029,READY,LUXURY,RERA-795047,2/23/2025 11:01
PR000189,CI055,DV169355,RETAIL,LUXURY,2,5462,2025,LAUNCHED,LUXURY,RERA-518178,3/24/2025 2:24
PR000190,CI090,DV143189,RETAIL,AFFORDABLE,1,2761,2028,LAUNCHED,PREMIUM,RERA-118205,7/15/2025 11:07
PR000191,CI046,DV102805,VILLA,LUXURY,3,6480,2030,UNDER_CONSTRUCTION,LUXURY,RERA-730812,6/9/2025 7:25
PR000192,CI027,DV013531,OFFICE,ULTRA,4,889,2026,READY,LUXURY,RERA-221935,5/9/2025 22:11
PR000193,CI023,DV230204,PLOT,COMMERCIAL,1,8037,2030,LAUNCHED,BASIC,RERA-174128,4/13/2025 21:48
PR000194,CI022,DV134435,APARTMENT,COMMERCIAL,4,659,2029,UNDER_CONSTRUCTION,BASIC,RERA-820414,7/18/2025 0:21
PR000195,CI013,DV235971,PLOT,LUXURY,1,1157,2029,UNDER_CONSTRUCTION,LUXURY,RERA-874584,7/6/2025 9:42
PR000196,CI022,DV126443,VILLA,MID,3,7191,2030,READY,BASIC,RERA-272926,4/21/2025 0:16
PR000197,CI054,DV037891,APARTMENT,MID,2,3484,2026,UNDER_CONSTRUCTION,STANDARD,RERA-419033,7/16/2025 1:47
PR000198,CI015,DV289142,RETAIL,PREMIUM,1,7202,2026,LAUNCHED,LUXURY,RERA-259193,5/15/2025 8:43
PR000199,CI075,DV274727,APARTMENT,LUXURY,1,7519,2026,LAUNCHED,STANDARD,RERA-768052,4/5/2025 1:22
PR000200,CI005,DV236310,PLOT,MID,3,5445,2030,LAUNCHED,STANDARD,RERA-342237,1/10/2026 21:21
PR000201,CI085,DV191052,PLOT,AFFORDABLE,3,7438,2026,LAUNCHED,BASIC,RERA-895516,11/2/2025 4:25
PR000202,CI092,DV210605,OFFICE,PREMIUM,4,5318,2030,READY,LUXURY,RERA-487457,7/3/2025 8:12
PR000203,CI068,DV110423,APARTMENT,PREMIUM,5,3323,2030,LAUNCHED,STANDARD,RERA-158700,2/10/2025 9:24
PR000204,CI052,DV084817,VILLA,COMMERCIAL,4,672,2027,UNDER_CONSTRUCTION,LUXURY,RERA-764362,6/17/2025 1:22
