TXN_ID,TXN_LINE_ID,TXN_DATE,PROPERTY_ID,CITY_ID,DEVELOPER_ID,BUYER_SEGMENT,LIST_PRICE_LAKHS,DISCOUNT_PCT,SALE_PRICE_LAKHS,LOAN_REQUIRED,SALES_CHANNEL,TXN_STATUS,PAYMENT_MODE,UPDATED_AT
TX158106,1,06/13/2020,PR058891,CI102,DV193855,NRI,11100000,2,10900000,N,DIRECT,CANCELLED,CHEQUE,06-02-2025 06:51
TX298936,1,02-07-2022,PR219170,CI098,DV096035,NRI,44100000,0,44100000,Y,DIRECT,CANCELLED,RTGS,07/29/2025 06:26
TX57022,1,12-11-2024,PR101134,CI087,DV117244,NRI,33400000,2,32800000,N,BROKER,REGISTERED,UPI,09-11-2025 03:09
TX300866,1,11/16/2021,PR062773,CI024,DV091915,END_USER,53500000,0,53500000,N,ONLINE,CANCELLED,RTGS,03/18/2025 12:28
TX47556,1,11/15/2023,PR276483,CI103,DV048899,INVESTOR,50600000,0,50600000,N,BROKER,BOOKED,UPI,12/20/2025 12:26
TX8717,1,05-05-2021,PR189904,CI068,DV133619,END_USER,58200000,2,57000000,N,BROKER,BOOKED,CARD,10/24/2025 09:47
TX271574,1,12/18/2021,PR200823,CI080,DV258021,INVESTOR,59000000,3,57300000,N,BROKER,CANCELLED,CHEQUE,03/21/2025 07:31
TX92677,1,05/24/2024,PR212227,CI025,DV101275,NRI,53600000,0,53600000,Y,ONLINE,REGISTERED,UPI,05/31/2025 19:13
TX241168,1,07/19/2024,PR213925,CI047,DV135886,INVESTOR,32200000,3,31300000,N,BROKER,CANCELLED,UPI,10-06-2025 08:13
TX268185,1,06-08-2023,PR048831,CI041,DV141048,END_USER,32100000,2,31400000,Y,BROKER,CANCELLED,NEFT,05/19/2025 14:53
TX91430,1,09/16/2021,PR044971,CI061,DV094899,END_USER,9400000,7,8700000,Y,DIRECT,REGISTERED,CARD,03/13/2025 04:01
TX230430,1,01/28/2020,PR037201,CI098,DV105149,INVESTOR,23200000,5,22000000,Y,DIRECT,REGISTERED,CARD,04/16/2025 01:18
TX53193,1,03/21/2020,PR180384,CI086,DV297771,NRI,30700000,7,28500000,N,ONLINE,CANCELLED,RTGS,01/19/2026 21:40
TX119965,1,11/14/2021,PR076239,CI071,DV062556,END_USER,23000000,3,22300000,N,ONLINE,BOOKED,UPI,02/16/2025 14:10
TX299029,1,02/13/2024,PR195734,CI087,DV284157,INVESTOR,14700000,0,14700000,Y,BROKER,BOOKED,CARD,07/29/2025 04:21
TX89405,1,10/15/2023,PR034795,CI010,DV178711,INVESTOR,44900000,2,44000000,Y,ONLINE,BOOKED,UPI,02/24/2025
TX85532,1,05/18/2024,PR285367,CI012,DV194216,INVESTOR,52700000,5,50100000,N,BROKER,BOOKED,UPI,01-08-2026 21:02
TX60466,1,11/24/2020,PR020800,CI015,DV069999,NRI,38700000,2,38000000,N,ONLINE,BOOKED,CARD,08-07-2025 23:19
TX230584,1,11/18/2020,PR001848,CI087,DV072744,INVESTOR,48500000,3,47000000,N,DIRECT,REGISTERED,RTGS,05/14/2025 06:59
TX305542,1,11-11-2022,PR004423,CI028,DV146129,INVESTOR,7600000,2,7400000,Y,DIRECT,CANCELLED,UPI,10/20/2025 16:28
TX14158,1,05/14/2020,PR169222,CI095,DV028992,INVESTOR,14600000,2,14300000,N,DIRECT,REGISTERED,CARD,04/18/2025 19:40
TX18168,1,08-01-2021,PR182755,CI084,DV279661,INVESTOR,28000000,5,26600000,N,BROKER,BOOKED,RTGS,06/28/2025 05:08
TX257972,1,12-09-2025,PR202231,CI028,DV033831,END_USER,8600000,3,8300000,N,ONLINE,BOOKED,UPI,09/19/2025 19:16
TX258815,1,03/17/2024,PR220176,CI021,DV106580,INVESTOR,52000000,0,52000000,Y,ONLINE,REGISTERED,CHEQUE,03/27/2025 15:45
TX147087,1,11-10-2020,PR170100,CI103,DV256394,NRI,50500000,5,48000000,Y,BROKER,REGISTERED,NEFT,04/25/2025 15:16
TX296004,1,09/20/2025,PR171134,CI071,DV024547,END_USER,39300000,3,38100000,N,DIRECT,CANCELLED,UPI,06/23/2025 04:31
TX183100,1,03-12-2021,PR219736,CI100,DV168065,NRI,42600000,3,41300000,N,BROKER,REGISTERED,RTGS,07/20/2025 05:01
TX38992,1,09/25/2021,PR259453,CI080,DV218487,NRI,39100000,5,37200000,N,BROKER,BOOKED,UPI,12/15/2025 15:02
TX123342,1,01/20/2024,PR279115,CI009,DV157001,END_USER,58500000,7,54400000,N,ONLINE,CANCELLED,NEFT,02-10-2025 14:57
TX287375,1,08-01-2022,PR219646,CI059,DV273422,NRI,42500000,7,39500000,N,DIRECT,CANCELLED,CARD,08/28/2025 11:36
TX200660,1,06/27/2020,PR165345,CI058,DV268444,NRI,49600000,5,47100000,N,ONLINE,BOOKED,NEFT,06/21/2025 06:02
TX247307,1,04-02-2022,PR225548,CI082,DV179486,INVESTOR,7400000,2,7200000,N,BROKER,BOOKED,UPI,11-11-2025 17:38
TX40527,1,10-03-2021,PR224261,CI067,DV255665,INVESTOR,35400000,2,34700000,N,DIRECT,REGISTERED,NEFT,05/17/2025 15:03
TX271822,1,12/16/2020,PR228543,CI038,DV242490,INVESTOR,32700000,3,31800000,Y,DIRECT,BOOKED,NEFT,11/13/2025 22:20
TX33226,1,09/25/2020,PR168884,CI027,DV168463,INVESTOR,8100000,2,8000000,N,BROKER,BOOKED,NEFT,06/23/2025 12:31
TX22994,1,03/22/2021,PR186022,CI070,DV036263,NRI,29000000,5,27600000,Y,DIRECT,CANCELLED,CARD,04-03-2025 10:53
TX216056,1,09-06-2023,PR280097,CI026,DV040376,NRI,10000000,2,9800000,Y,DIRECT,BOOKED,RTGS,07/21/2025 06:22
TX231361,1,09/28/2022,PR067642,CI071,DV252627,INVESTOR,11600000,7,10800000,Y,DIRECT,REGISTERED,CHEQUE,05-08-2025 15:59
TX266193,1,07-07-2024,PR238834,CI060,DV240839,INVESTOR,8600000,5,8200000,N,DIRECT,BOOKED,NEFT,07/28/2025 12:23
TX95290,1,12/23/2024,PR111622,CI017,DV091860,END_USER,22700000,0,22700000,N,DIRECT,REGISTERED,NEFT,03-12-2025 17:49
TX20069,1,12-10-2021,PR273407,CI064,DV020656,END_USER,20400000,3,19800000,Y,BROKER,BOOKED,RTGS,12/21/2025 02:47
TX58661,1,11/21/2023,PR184274,CI097,DV233880,END_USER,19400000,3,18800000,Y,DIRECT,REGISTERED,CHEQUE,05/19/2025 22:39
TX275326,1,08/17/2022,PR115212,CI060,DV037914,NRI,58700000,3,57000000,Y,BROKER,BOOKED,CARD,09/24/2025 06:13
TX105513,1,02-08-2023,PR201241,CI008,DV284681,NRI,43400000,3,42100000,Y,ONLINE,REGISTERED,NEFT,09/27/2025 10:30
TX40597,1,02-11-2021,PR197621,CI072,DV244338,INVESTOR,33300000,7,31000000,N,BROKER,CANCELLED,CHEQUE,08/14/2025 07:54
TX12819,1,10/18/2020,PR096549,CI015,DV250640,END_USER,41500000,2,40600000,Y,ONLINE,REGISTERED,UPI,06/13/2025 11:12
TX211809,1,10-08-2021,PR003539,CI031,DV202068,INVESTOR,47900000,3,46500000,Y,BROKER,REGISTERED,UPI,06/19/2025 11:17
TX123172,1,02/23/2020,PR003645,CI020,DV213455,NRI,40900000,7,38000000,N,BROKER,BOOKED,CARD,03/14/2025 06:06
TX240156,1,01-08-2025,PR126412,CI030,DV243320,INVESTOR,10600000,2,10400000,Y,ONLINE,CANCELLED,CARD,12-06-2025 09:48
TX236616,1,01/28/2020,PR157026,CI049,DV217917,NRI,22800000,7,21200000,Y,DIRECT,BOOKED,CHEQUE,11/15/2025 18:39
TX62391,1,02/17/2022,PR151606,CI029,DV213798,NRI,26100000,5,24700000,N,DIRECT,CANCELLED,CARD,08/20/2025 15:47
TX247992,1,05/22/2021,PR293855,CI043,DV004442,END_USER,32900000,2,32200000,N,DIRECT,REGISTERED,CARD,06/16/2025 12:22
TX75615,1,04/18/2023,PR283249,CI101,DV217200,INVESTOR,44300000,3,42900000,N,ONLINE,REGISTERED,UPI,10-04-2025 13:24
TX174162,1,12/19/2021,PR253098,CI059,DV044757,INVESTOR,34600000,5,32900000,Y,BROKER,CANCELLED,UPI,10/14/2025 21:39
TX135074,1,08-08-2024,PR210635,CI019,DV161565,NRI,14200000,2,13900000,Y,BROKER,REGISTERED,CHEQUE,09/13/2025 10:38
TX32715,1,07-07-2023,PR053158,CI013,DV220197,NRI,57800000,0,57800000,N,BROKER,CANCELLED,UPI,10-03-2025 17:43
TX124125,1,02/22/2020,PR167582,CI095,DV014257,INVESTOR,38600000,5,36700000,N,BROKER,REGISTERED,UPI,01-06-2026 03:03
TX299819,1,06/14/2023,PR142093,CI083,DV203249,END_USER,22800000,0,22800000,N,ONLINE,REGISTERED,UPI,09-05-2025 08:54
TX96354,1,08/28/2023,PR013037,CI028,DV149520,END_USER,33100000,2,32500000,N,DIRECT,CANCELLED,NEFT,10/29/2025 03:17
TX26021,1,01/22/2025,PR039999,CI049,DV081375,END_USER,29900000,7,27800000,Y,ONLINE,REGISTERED,RTGS,10/28/2025
TX169659,1,11-04-2025,PR113343,CI028,DV032050,INVESTOR,40800000,7,37900000,Y,ONLINE,REGISTERED,CHEQUE,03-11-2025 02:22
TX293922,1,07/24/2020,PR267458,CI011,DV178191,INVESTOR,12200000,2,12000000,N,DIRECT,CANCELLED,CARD,07/27/2025 06:37
TX306639,1,02-08-2022,PR105642,CI044,DV255293,NRI,37600000,2,36900000,N,BROKER,REGISTERED,CARD,11-07-2025 06:46
TX156788,1,04/18/2021,PR125147,CI093,DV279539,END_USER,54400000,2,53300000,Y,ONLINE,CANCELLED,CARD,09-08-2025 01:15
TX30253,1,03/14/2023,PR285831,CI062,DV218201,END_USER,24000000,0,24000000,N,DIRECT,BOOKED,UPI,07/18/2025 14:41
TX87835,1,05/15/2021,PR262804,CI080,DV031266,INVESTOR,11100000,7,10300000,N,BROKER,CANCELLED,RTGS,03-11-2025 01:43
TX82679,1,02/15/2021,PR259163,CI035,DV172990,INVESTOR,58200000,0,58200000,Y,BROKER,REGISTERED,CHEQUE,07-11-2025 07:36
TX70479,1,02-02-2024,PR009799,CI020,DV294399,END_USER,31200000,3,30300000,N,BROKER,BOOKED,CARD,11-05-2025 11:25
TX270966,1,09/27/2025,PR242752,CI024,DV105221,NRI,9200000,7,8500000,N,ONLINE,REGISTERED,NEFT,09/18/2025 08:38
TX218505,1,02/25/2020,PR114274,CI059,DV023474,INVESTOR,31700000,7,29400000,N,BROKER,BOOKED,RTGS,07/23/2025 05:00
TX249188,1,03/14/2021,PR028158,CI036,DV165905,INVESTOR,41600000,7,38700000,Y,BROKER,REGISTERED,RTGS,08-07-2025 13:53
TX211657,1,08-07-2023,PR223135,CI041,DV252882,INVESTOR,27400000,5,26100000,Y,ONLINE,REGISTERED,UPI,06/26/2025 12:36
TX31723,1,01-06-2023,PR143621,CI030,DV298157,INVESTOR,48400000,0,48400000,Y,ONLINE,CANCELLED,CHEQUE,01/22/2026 01:42
TX135312,1,01/13/2023,PR080974,CI004,DV018980,NRI,53200000,5,50500000,Y,DIRECT,BOOKED,CHEQUE,08/13/2025 18:05
TX115129,1,08-10-2022,PR133896,CI045,DV280263,END_USER,21800000,5,20700000,Y,BROKER,CANCELLED,NEFT,09/14/2025 11:49
TX167127,1,12/24/2023,PR105185,CI089,DV062432,INVESTOR,48200000,3,46800000,N,ONLINE,CANCELLED,CARD,05/24/2025 23:02
TX198896,1,11/23/2024,PR110893,CI001,DV014954,END_USER,45200000,0,-5000000,N,BROKER,REGISTERED,UPI,02/13/2025
TX50679,1,03-07-2023,PR287942,CI013,DV272826,END_USER,18300000,5,17400000,Y,DIRECT,BOOKED,UPI,05-11-2025 17:51
TX276290,1,04-02-2022,PR240083,CI061,DV100205,END_USER,11800000,7,11000000,N,ONLINE,BOOKED,CHEQUE,12/28/2025 07:01
TX241575,1,12/18/2024,PR017208,CI017,DV248097,INVESTOR,46700000,3,45300000,N,DIRECT,BOOKED,RTGS,07/23/2025
TX229711,1,12-11-2020,PR296675,CI034,DV230374,END_USER,25100000,5,23900000,Y,BROKER,REGISTERED,UPI,07-12-2025
TX195019,1,01/19/2020,PR139811,CI043,DV289857,NRI,30200000,5,28600000,N,ONLINE,REGISTERED,CHEQUE,03-07-2025 17:40
TX297317,1,09/28/2023,PR234514,CI064,DV214574,END_USER,15700000,0,15700000,N,ONLINE,REGISTERED,CHEQUE,05-07-2025 18:35
TX35302,1,03-02-2024,PR081946,CI009,DV024163,INVESTOR,17400000,3,16800000,Y,BROKER,BOOKED,CARD,01/14/2026 06:49
TX65462,1,02/28/2024,PR255593,CI029,DV283843,INVESTOR,8800000,0,8800000,N,BROKER,BOOKED,UPI,01/26/2026 13:15
TX263549,1,02/20/2021,PR098055,CI046,DV065585,END_USER,5100000,5,4800000,N,BROKER,CANCELLED,RTGS,07-04-2025 16:26
TX95787,1,11/28/2020,PR106301,CI061,DV042545,NRI,36800000,2,36100000,Y,DIRECT,BOOKED,RTGS,09-11-2025 14:04
TX239360,1,07-04-2021,PR192136,CI010,DV090628,NRI,51200000,7,47600000,N,DIRECT,REGISTERED,NEFT,12/13/2025 20:42
TX119311,1,04/19/2024,PR281802,CI015,DV025162,INVESTOR,25800000,5,24500000,Y,ONLINE,CANCELLED,CHEQUE,10-05-2025
TX32376,1,01/20/2024,PR287296,CI057,DV016125,NRI,43300000,7,40200000,Y,DIRECT,REGISTERED,UPI,03-05-2025 07:31
TX237700,1,07/22/2020,PR131951,CI077,DV138953,NRI,20600000,2,20200000,N,DIRECT,REGISTERED,CARD,03/15/2025
TX121815,1,10/17/2024,PR277002,CI004,DV088667,END_USER,40200000,3,39000000,N,DIRECT,CANCELLED,CHEQUE,07/24/2025 08:52
TX288320,1,05-07-2022,PR277063,CI036,DV291311,NRI,41700000,5,39600000,N,DIRECT,BOOKED,CARD,10/29/2025 01:36
TX28550,1,12-11-2025,PR026823,CI049,DV194196,NRI,59800000,3,58000000,N,DIRECT,CANCELLED,CARD,08-07-2025 13:01
TX10723,1,05/13/2021,PR043243,CI086,DV012184,NRI,5100000,5,4900000,N,ONLINE,BOOKED,CARD,11/29/2025 19:47
TX224193,1,11/21/2021,PR201170,CI027,DV208795,END_USER,24700000,3,23900000,Y,BROKER,REGISTERED,RTGS,09-11-2025 12:19
TX223821,1,08-11-2022,PR243994,CI009,DV036488,END_USER,18000000,7,16700000,N,DIRECT,REGISTERED,UPI,12/15/2025 08:04
TX300786,1,01/15/2020,PR297007,CI055,DV006650,END_USER,10100000,5,9600000,Y,ONLINE,REGISTERED,NEFT,07/19/2025 08:59
TX55509,1,10-04-2024,PR194200,CI063,DV246140,END_USER,29600000,3,28800000,Y,DIRECT,REGISTERED,UPI,07-06-2025 17:13
TX220558,1,09-07-2020,PR078586,CI037,DV211622,END_USER,58600000,0,58600000,Y,DIRECT,BOOKED,RTGS,03-11-2025 13:29
TX236907,1,05-05-2024,PR208746,CI084,DV172379,END_USER,25400000,5,24100000,N,DIRECT,CANCELLED,RTGS,11/17/2025 12:37
TX21140,1,02-08-2022,PR207044,CI044,DV054270,END_USER,36200000,0,36200000,N,DIRECT,CANCELLED,RTGS,09/26/2025 17:28
TX282711,1,05-06-2022,PR278963,CI033,DV169969,INVESTOR,19300000,5,18300000,Y,DIRECT,BOOKED,RTGS,12-01-2025 18:43
TX201577,1,09/23/2023,PR258539,CI048,DV022433,NRI,45700000,7,42500000,N,BROKER,BOOKED,RTGS,12/21/2025 08:08
TX241767,1,10/26/2022,PR245698,CI002,DV043298,INVESTOR,50100000,3,48600000,Y,BROKER,REGISTERED,CARD,03-12-2025 17:45
TX82123,1,09-01-2025,PR197371,CI030,DV171970,INVESTOR,54900000,3,53300000,N,DIRECT,BOOKED,CHEQUE,03/19/2025
TX289484,1,09-10-2025,PR146686,CI099,DV143335,NRI,49500000,2,48500000,Y,DIRECT,BOOKED,CHEQUE,12/15/2025 09:03
TX121494,1,02-05-2025,PR184140,CI067,DV294030,NRI,17000000,5,16200000,N,DIRECT,BOOKED,UPI,08/13/2025 14:42
TX78332,1,02-04-2022,PR001041,CI069,DV155004,NRI,15800000,5,15000000,N,BROKER,REGISTERED,CHEQUE,07/21/2025 11:06
TX211097,1,09-05-2025,PR226894,CI008,DV156400,INVESTOR,30200000,3,29300000,N,BROKER,CANCELLED,CARD,10-10-2025 06:54
TX255298,1,05/20/2022,PR122138,CI081,DV271712,END_USER,43800000,2,43000000,N,DIRECT,BOOKED,RTGS,08/24/2025 14:53
TX291262,1,12-11-2021,PR014735,CI007,DV037521,NRI,39600000,0,39600000,Y,BROKER,BOOKED,UPI,10-08-2025 09:42
TX198564,1,11/21/2021,PR000461,CI037,DV246906,NRI,22300000,0,22300000,N,BROKER,BOOKED,UPI,10-07-2025 06:27
TX65647,1,09/16/2022,PR204734,CI079,DV151699,END_USER,54400000,2,53300000,N,DIRECT,BOOKED,UPI,08-11-2025 19:56
TX211473,1,01-03-2022,PR151696,CI013,DV271558,END_USER,39300000,2,38500000,N,BROKER,BOOKED,NEFT,08/13/2025 09:56
TX274245,1,07/27/2025,PR219009,CI063,DV245572,END_USER,48200000,2,47200000,Y,DIRECT,BOOKED,RTGS,03/26/2025 02:41
TX249417,1,01-01-2022,PR086562,CI052,DV142480,INVESTOR,15400000,2,15100000,Y,ONLINE,CANCELLED,CHEQUE,01/27/2026 18:34
TX43512,1,03/21/2022,PR127496,CI072,DV190299,NRI,9200000,7,8500000,Y,DIRECT,CANCELLED,NEFT,01/13/2026 17:44
TX102263,1,03/24/2022,PR061608,CI029,DV001690,END_USER,51800000,3,50300000,N,BROKER,BOOKED,NEFT,11-09-2025 04:29
TX279357,1,09/23/2023,PR152137,CI056,DV124673,INVESTOR,54800000,3,53200000,Y,DIRECT,BOOKED,NEFT,06/17/2025 04:19
TX258947,1,09-01-2023,PR101353,CI044,DV184560,NRI,34700000,0,34700000,N,BROKER,BOOKED,NEFT,08/23/2025 20:35
TX245201,1,02/23/2020,PR278387,CI068,DV045167,END_USER,36800000,5,34900000,Y,ONLINE,BOOKED,NEFT,11/25/2025 11:58
TX141323,1,09-02-2021,PR016727,CI065,DV293279,NRI,49900000,2,48900000,Y,BROKER,REGISTERED,CARD,11/14/2025 13:41
TX55418,1,10/18/2022,PR055894,CI080,DV205850,INVESTOR,58600000,3,56900000,N,ONLINE,REGISTERED,CHEQUE,02-08-2025 21:34
TX283952,1,07-05-2021,PR151485,CI081,DV103379,INVESTOR,50400000,5,47900000,N,BROKER,CANCELLED,RTGS,06/14/2025 11:04
TX39005,1,05-12-2020,PR094047,CI064,DV249639,END_USER,24500000,3,23700000,N,DIRECT,REGISTERED,RTGS,06/17/2025 07:45
TX143759,1,06-07-2020,PR202063,CI005,DV097142,INVESTOR,-10000000,0,24000000,Y,ONLINE,CANCELLED,CHEQUE,08/30/2025 19:12
TX262422,1,04/22/2025,PR240028,CI060,DV002544,INVESTOR,41600000,0,41600000,Y,DIRECT,BOOKED,CHEQUE,05/21/2025 13:16
TX160837,1,06/25/2020,PR092371,CI011,DV062462,END_USER,31200000,2,30600000,N,BROKER,BOOKED,RTGS,07/19/2025 20:18
TX46291,1,07/20/2024,PR128316,CI009,DV139298,INVESTOR,37600000,3,36400000,Y,BROKER,BOOKED,CHEQUE,09/20/2025 08:53
TX259941,1,03-08-2025,PR078666,CI040,DV059449,END_USER,36500000,3,35400000,N,BROKER,BOOKED,RTGS,04/19/2025 21:34
TX7993,1,03/14/2021,PR286438,CI032,DV174284,NRI,26600000,2,26100000,Y,DIRECT,BOOKED,CHEQUE,08/16/2025 16:16
TX222962,1,03/24/2020,PR006344,CI020,DV172319,END_USER,42500000,0,42500000,Y,BROKER,BOOKED,UPI,08/23/2025 16:23
TX209358,1,07/26/2022,PR139475,CI019,DV006462,END_USER,39500000,7,36700000,N,ONLINE,REGISTERED,NEFT,02/23/2025 17:09
TX83908,1,12/26/2025,PR204118,CI089,DV199851,END_USER,27300000,2,26700000,N,BROKER,CANCELLED,UPI,04/29/2025 19:49
TX137166,1,05-06-2021,PR050703,CI088,DV296632,END_USER,33100000,2,32500000,Y,DIRECT,CANCELLED,CARD,05/14/2025 05:05
TX121606,1,02/13/2025,PR055982,CI079,DV254881,NRI,48900000,7,45500000,Y,ONLINE,CANCELLED,CARD,10/26/2025 09:25
TX159796,1,08-08-2020,PR153824,CI038,DV113434,END_USER,53600000,2,52500000,N,DIRECT,REGISTERED,NEFT,03-02-2025 09:18
TX191943,1,08-12-2021,PR189862,CI094,DV139801,INVESTOR,26900000,5,25600000,Y,ONLINE,CANCELLED,CHEQUE,05/24/2025 09:02
TX37367,1,04-08-2022,PR039589,CI068,DV151648,INVESTOR,17700000,2,17300000,N,DIRECT,BOOKED,CHEQUE,01-01-2026 05:17
TX166377,1,11-07-2020,PR079035,CI010,DV060275,END_USER,35400000,0,35400000,Y,DIRECT,CANCELLED,NEFT,04/21/2025 08:29
TX188063,1,06-09-2023,PR110377,CI069,DV133136,INVESTOR,43500000,2,42700000,Y,ONLINE,BOOKED,CHEQUE,02-07-2025 13:22
TX58104,1,05-12-2020,PR281769,CI029,DV037681,END_USER,19300000,7,18000000,N,ONLINE,CANCELLED,NEFT,02/17/2025 02:40
TX34611,1,09/13/2025,PR269027,CI102,DV251347,NRI,54500000,5,51800000,Y,DIRECT,CANCELLED,CHEQUE,11/27/2025 19:49
TX60582,1,09-11-2025,PR161645,CI039,DV241253,END_USER,38700000,2,37900000,Y,BROKER,CANCELLED,RTGS,10-05-2025 20:38
TX34882,1,02-09-2020,PR023651,CI072,DV043074,END_USER,35400000,2,34700000,Y,ONLINE,REGISTERED,CARD,09-12-2025 06:14
