DEVELOPER_ID,DEVELOPER_NAME,HQ_COUNTRY,DEVELOPER_TIER,FOCUS_SEGMENT,HQ_CITY,HQ_STATE,STATUS,PARTNER_SINCE,UPDATED_AT
DV000019,Sobha,India,Tier-2,Luxury,Bengaluru,KA,INACTIVE,2/23/2006,1/14/2026 5:39
DV000020,Phoenix Mills,India,Tier-2,Mid,Hyderabad,TS,ACTIVE,10/15/2009,10/30/2026 15:29
DV000021,Kolte Patil,India,Tier-2,Affordable,Noida,UP,INACTIVE,10/24/2016,5/21/2026 16:02
DV000022,Mahindra Lifespaces,India,Tier-2,Mid,Gurugram,HR,INACTIVE,8/2/2016,8/8/2026 5:55
DV000023,Puravankara,India,Tier-1,Luxury,Noida,UP,INACTIVE,9/27/2010,9/12/2026 14:39
DV000024,Runwal Group,India,Tier-1,Luxury,Noida,UP,ACTIVE,9/30/2017,3/31/2026 6:46
DV000025,Hiranandani,India,Tier-2,Affordable,Gurugram,HR,ACTIVE,9/17/2008,8/13/2026 8:47
DV000026,Kolte Patil,India,Tier-1,Affordable,Gurugram,HR,INACTIVE,10/9/2019,4/10/2026 14:53
DV000027,Godrej Properties,India,Tier-1,Affordable,Kolkata,WB,INACTIVE,4/22/2007,9/1/2026 13:37
DV000028,Shapoorji Pallonji,India,Tier-2,Affordable,Delhi,DL,INACTIVE,6/9/2008,2/19/2026 17:28
DV000029,Hiranandani,India,Tier-2,Affordable,Hyderabad,TS,ACTIVE,10/12/2012,11/27/2026 7:28
DV000030,Hiranandani,India,Tier-1,Mid,Hyderabad,TS,INACTIVE,8/26/2015,10/13/2026 14:40
DV000031,Godrej Properties,India,Tier-2,Luxury,Bengaluru,KA,ACTIVE,3/22/2019,10/21/2026 22:53
DV1131,###,,,,kolkata,XX,N,1/1/2010,
DV000033,Godrej Properties,India,Tier-2,Affordable,Mumbai,MH,ACTIVE,5/25/2013,4/20/2026 22:07
DV000034,Lodha Group,India,Tier-1,Premium,Bengaluru,KA,ACTIVE,11/29/2018,6/25/2026 21:37
DV000035,Puravankara,India,Tier-2,Mid,Hyderabad,TS,INACTIVE,2/20/2008,7/13/2026 4:07
DV000036,Hiranandani,India,Tier-1,Affordable,Mumbai,MH,ACTIVE,9/10/2017,5/4/2026 12:06
DV000037,Phoenix Mills,India,Tier-1,Premium,Noida,UP,ACTIVE,1/24/2014,12/3/2026 6:35
DV000038,Puravankara,India,Tier-1,Affordable,Gurugram,HR,ACTIVE,12/15/2012,1/25/2026 5:08
DV000039,TVS Emerald,India,Tier-2,Premium,Kolkata,WB,ACTIVE,10/8/2018,4/20/2026 9:53
DV000040,Embassy Group,India,Tier-2,Premium,Delhi,DL,ACTIVE,6/24/2011,2/18/2026 12:43
DV000041,Sobha,India,Tier-1,Premium,Delhi,DL,INACTIVE,4/18/2011,8/22/2026 9:14
DV000042,Mahindra Lifespaces,India,Tier-1,Premium,Noida,UP,ACTIVE,1/21/2013,9/11/2026 2:23
DV000043,Mahindra Lifespaces,India,Tier-1,Affordable,Kolkata,WB,INACTIVE,8/25/2011,11/20/2026 20:36
DV000044,Kolte Patil,India,Tier-2,Luxury,Hyderabad,TS,INACTIVE,5/23/2018,5/8/2026 19:18
DV000045,Mahindra Lifespaces,India,Tier-1,Mid,Noida,UP,ACTIVE,5/24/2012,8/12/2026 21:11
DV000046,Kolte Patil,India,Tier-1,Affordable,Noida,UP,ACTIVE,8/22/2009,1/29/2026 4:43
DV000047,Runwal Group,India,Tier-2,Mid,Bengaluru,KA,ACTIVE,12/26/2009,10/16/2026 15:19
DV000048,TVS Emerald,India,Tier-2,Affordable,Kolkata,WB,INACTIVE,10/7/2006,1/3/2026 23:04
DV000049,Tata Housing,India,Tier-1,Mid,Kolkata,WB,ACTIVE,11/30/2011,6/25/2026 6:31
DV000050,Kolte Patil,India,Tier-2,Mid,Delhi,DL,ACTIVE,1/15/2016,1/7/2026 2:26
DV000051,Tata Housing,India,Tier-2,Affordable,Mumbai,MH,INACTIVE,2/12/2018,4/4/2026 7:26
DV000052,Brigade Group,India,Tier-1,Premium,Noida,UP,ACTIVE,11/4/2020,9/28/2026 21:04
DV000053,Prestige Group,India,Tier-2,Luxury,Chennai,TN,ACTIVE,3/26/2011,6/4/2026 1:28
DV000054,Shapoorji Pallonji,India,Tier-2,Affordable,Bengaluru,KA,ACTIVE,5/12/2008,11/28/2026 23:50
DV000055,Brigade Group,India,Tier-2,Premium,Kolkata,WB,ACTIVE,12/15/2018,12/10/2026 0:48
DV000056,Lodha Group,India,Tier-1,Affordable,Mumbai,MH,INACTIVE,2/9/2015,1/23/2026 6:32
DV000057,Phoenix Mills,India,Tier-1,Luxury,Delhi,DL,ACTIVE,9/6/2013,5/7/2026 9:51
DV000058,Brigade Group,India,Tier-1,Luxury,Pune,MH,INACTIVE,5/5/2012,1/23/2026 12:31
DV000059,Mahindra Lifespaces,India,Tier-1,Mid,Gurugram,HR,INACTIVE,8/9/2016,11/6/2026 8:03
DV000060,Sobha,India,Tier-1,Mid,Chennai,TN,INACTIVE,6/20/2013,6/17/2026 7:26
DV000061,Shapoorji Pallonji,India,Tier-1,Premium,Gurugram,HR,INACTIVE,11/1/2020,8/5/2026 2:39
DV000062,DLF,India,Tier-2,Luxury,Mumbai,MH,ACTIVE,8/26/2018,8/11/2026 3:32
DV000063,Shapoorji Pallonji,India,Tier-1,Mid,Mumbai,MH,INACTIVE,2/8/2005,8/5/2026 10:55
DV000064,Godrej Properties,India,Tier-2,Premium,Gurugram,HR,ACTIVE,6/15/2018,5/25/2026 11:39
DV000065,Prestige Group,India,Tier-2,Mid,Mumbai,MH,INACTIVE,11/6/2018,4/20/2026 16:04
DV000066,Kolte Patil,India,Tier-1,Affordable,Delhi,DL,ACTIVE,3/14/2017,3/6/2026 19:56
DV000067,Godrej Properties,India,Tier-1,Mid,Mumbai,MH,INACTIVE,7/28/2008,9/2/2026 22:42
DV000068,Runwal Group,India,Tier-1,Premium,Delhi,DL,ACTIVE,6/2/2008,5/6/2026 14:34
DV000069,Kolte Patil,India,Tier-1,Affordable,Noida,UP,INACTIVE,8/24/2005,5/16/2026 2:44
DV000070,Kolte Patil,India,Tier-2,Luxury,Delhi,DL,ACTIVE,8/8/2009,5/1/2026 4:52
DV000071,Hiranandani,India,Tier-2,Mid,Hyderabad,TS,ACTIVE,6/24/2009,6/30/2026 0:51
DV000072,Shapoorji Pallonji,India,Tier-1,Affordable,Bengaluru,KA,ACTIVE,9/21/2015,5/19/2026 6:33
DV000073,TVS Emerald,India,Tier-1,Premium,Mumbai,MH,ACTIVE,4/29/2014,1/18/2026 14:52
DV000074,Mahindra Lifespaces,India,Tier-1,Mid,Gurugram,HR,INACTIVE,9/10/2014,10/24/2026 19:37
DV000075,Phoenix Mills,India,Tier-1,Luxury,Mumbai,MH,INACTIVE,6/10/2014,10/21/2026 12:23
DV000076,Tata Housing,India,Tier-2,Luxury,Pune,MH,INACTIVE,5/10/2014,4/20/2026 16:01
DV000077,DLF,India,Tier-2,Premium,Delhi,DL,ACTIVE,5/11/2020,11/12/2026 5:40
DV000078,Embassy Group,India,Tier-1,Affordable,Hyderabad,TS,ACTIVE,10/17/2008,11/5/2026 1:15
DV000079,Embassy Group,India,Tier-1,Premium,Pune,MH,INACTIVE,5/4/2011,8/6/2026 21:49
DV000080,Lodha Group,India,Tier-1,Luxury,Delhi,DL,ACTIVE,11/9/2016,9/18/2026 12:48
DV000081,Brigade Group,India,Tier-2,Mid,Pune,MH,INACTIVE,5/15/2011,1/12/2026 16:48
DV000082,Godrej Properties,India,Tier-1,Affordable,Noida,UP,INACTIVE,1/7/2009,7/18/2026 6:47
DV000083,Prestige Group,India,Tier-1,Premium,Bengaluru,KA,INACTIVE,3/8/2005,3/31/2026 12:51
DV000084,Embassy Group,India,Tier-2,Mid,Mumbai,MH,INACTIVE,7/21/2005,1/15/2026 3:31
DV000085,Puravankara,India,Tier-2,Affordable,Mumbai,MH,INACTIVE,10/3/2012,7/28/2026 17:03
DV000086,Hiranandani,India,Tier-2,Mid,Delhi,DL,INACTIVE,3/3/2015,8/15/2026 10:49
DV000087,Tata Housing,India,Tier-2,Mid,Pune,MH,INACTIVE,7/6/2015,2/3/2026 19:25
DV000088,Shapoorji Pallonji,India,Tier-2,Premium,Mumbai,MH,ACTIVE,5/1/2018,9/30/2026 22:44
DV000089,TVS Emerald,India,Tier-2,Premium,Noida,UP,ACTIVE,4/12/2014,3/15/2026 5:34
DV000090,Tata Housing,India,Tier-1,Luxury,Bengaluru,KA,ACTIVE,1/12/2016,8/1/2026 20:29
DV000091,Oberoi Realty,India,Tier-1,Affordable,Bengaluru,KA,INACTIVE,10/9/2014,9/27/2026 5:21
DV000092,Puravankara,India,Tier-1,Luxury,Hyderabad,TS,ACTIVE,3/17/2020,8/7/2026 15:31
DV000093,Kolte Patil,India,Tier-1,Luxury,Gurugram,HR,INACTIVE,12/22/2020,8/28/2026 10:35
DV000094,Raheja Developers,India,Tier-2,Luxury,Kolkata,WB,ACTIVE,6/26/2008,8/10/2026 14:48
DV000095,Tata Housing,India,Tier-1,Affordable,Delhi,DL,INACTIVE,3/14/2008,4/24/2026 0:36
DV000096,Runwal Group,India,Tier-2,Premium,Hyderabad,TS,INACTIVE,10/10/2013,6/25/2026 15:47
DV000097,Godrej Properties,India,Tier-2,Mid,Kolkata,WB,ACTIVE,1/15/2007,5/27/2026 9:46
DV000098,Mahindra Lifespaces,India,Tier-1,Mid,Gurugram,HR,ACTIVE,4/8/2016,2/20/2026 22:22
DV000099,Brigade Group,India,Tier-1,Premium,Kolkata,WB,INACTIVE,11/25/2006,4/22/2026 0:59
DV000100,Shapoorji Pallonji,India,Tier-2,Luxury,Chennai,TN,INACTIVE,7/1/2013,9/15/2026 21:03
DV000101,Hiranandani,India,Tier-1,Affordable,Pune,MH,ACTIVE,7/25/2016,10/28/2026 3:12
DV000102,Tata Housing,India,Tier-2,Affordable,Chennai,TN,INACTIVE,5/22/2016,4/16/2026 3:12
DV000103,TVS Emerald,India,Tier-1,Luxury,Pune,MH,INACTIVE,12/8/2020,8/18/2026 0:50
DV000104,TVS Emerald,India,Tier-2,Affordable,Chennai,TN,ACTIVE,2/29/2020,12/4/2026 14:10
DV000105,Sobha,India,Tier-2,Mid,Delhi,DL,ACTIVE,8/4/2009,1/20/2026 17:08
DV000106,Sobha,India,Tier-2,Premium,Noida,UP,INACTIVE,7/8/2013,4/14/2026 18:26
DV000107,Prestige Group,India,Tier-1,Affordable,Hyderabad,TS,ACTIVE,3/24/2013,9/22/2026 20:34
DV000108,DLF,India,Tier-1,Mid,Kolkata,WB,ACTIVE,8/14/2017,4/9/2026 9:34
DV000109,Embassy Group,India,Tier-1,Premium,Kolkata,WB,ACTIVE,2/24/2006,8/28/2026 9:46
DV000110,Mahindra Lifespaces,India,Tier-1,Affordable,Chennai,TN,INACTIVE,11/24/2019,2/12/2026 9:50
DV000111,Tata Housing,India,Tier-1,Premium,Noida,UP,INACTIVE,8/23/2009,7/12/2026 4:23
DV000112,Oberoi Realty,India,Tier-2,Premium,Mumbai,MH,ACTIVE,3/20/2017,12/6/2026 23:34
DV000113,Shapoorji Pallonji,India,Tier-2,Premium,Kolkata,WB,INACTIVE,2/15/2010,5/20/2026 10:14
DV000114,TVS Emerald,India,Tier-1,Affordable,Chennai,TN,INACTIVE,9/28/2008,1/27/2026 23:10
DV000115,Sobha,India,Tier-1,Affordable,Hyderabad,TS,ACTIVE,8/12/2011,3/26/2026 18:29
DV000116,Raheja Developers,India,Tier-2,Luxury,Mumbai,MH,INACTIVE,11/27/2012,9/14/2026 9:39
DV000117,Puravankara,India,Tier-1,Luxury,Noida,UP,INACTIVE,9/8/2017,7/5/2026 13:09
DV000118,Prestige Group,India,Tier-1,Affordable,Mumbai,MH,ACTIVE,9/18/2010,8/5/2026 21:07
DV000119,Sobha,India,Tier-2,Luxury,Chennai,TN,INACTIVE,1/15/2011,10/21/2026 7:42
DV000120,Tata Housing,India,Tier-1,Mid,Kolkata,WB,ACTIVE,7/26/2008,2/13/2026 17:55
DV000121,Hiranandani,India,Tier-1,Mid,Mumbai,MH,ACTIVE,5/15/2006,1/24/2026 20:08
DV000122,Shapoorji Pallonji,India,Tier-2,Luxury,Kolkata,WB,INACTIVE,12/21/2019,2/28/2026 12:29
DV000123,Prestige Group,India,Tier-1,Affordable,Noida,UP,ACTIVE,7/5/2009,9/24/2026 10:31
DV000124,Phoenix Mills,India,Tier-1,Luxury,Bengaluru,KA,INACTIVE,10/13/2006,1/4/2026 5:52
DV000125,Godrej Properties,India,Tier-1,Mid,Gurugram,HR,ACTIVE,4/13/2009,9/27/2026 22:50
DV000126,Mahindra Lifespaces,India,Tier-1,Mid,Noida,UP,INACTIVE,5/27/2019,8/1/2026 6:53
DV000127,DLF,India,Tier-2,Mid,Bengaluru,KA,INACTIVE,8/20/2006,10/6/2026 2:39
DV000128,Puravankara,India,Tier-1,Premium,Gurugram,HR,INACTIVE,6/20/2016,10/3/2026 4:09
DV000129,Shapoorji Pallonji,India,Tier-1,Premium,Delhi,DL,ACTIVE,4/4/2008,5/19/2026 6:51
DV000130,Mahindra Lifespaces,India,Tier-1,Affordable,Bengaluru,KA,INACTIVE,10/21/2020,9/22/2026 2:32
DV000131,Brigade Group,India,Tier-2,Premium,Delhi,DL,ACTIVE,10/16/2010,2/12/2026 7:18
DV000132,Raheja Developers,India,Tier-2,Mid,Delhi,DL,ACTIVE,1/31/2011,4/20/2026 20:05
DV000133,TVS Emerald,India,Tier-2,Affordable,Pune,MH,ACTIVE,1/21/2008,2/9/2026 13:01
DV000134,Mahindra Lifespaces,India,Tier-1,Affordable,Kolkata,WB,ACTIVE,1/7/2011,9/3/2026 0:47
DV000135,DLF,India,Tier-2,Luxury,Noida,UP,INACTIVE,10/9/2010,8/15/2026 9:56
DV000136,Tata Housing,India,Tier-1,Mid,Gurugram,HR,INACTIVE,8/17/2015,4/3/2026 21:16
DV000137,Oberoi Realty,India,Tier-1,Mid,Pune,MH,INACTIVE,5/6/2014,9/27/2026 7:41
DV000138,Tata Housing,India,Tier-2,Affordable,Kolkata,WB,ACTIVE,6/15/2006,3/19/2026 12:53
DV000139,DLF,India,Tier-1,Mid,Gurugram,HR,INACTIVE,2/2/2014,11/21/2026 5:38
DV000140,TVS Emerald,India,Tier-2,Luxury,Mumbai,MH,INACTIVE,9/28/2020,2/12/2026 22:12
DV000141,Godrej Properties,India,Tier-1,Luxury,Mumbai,MH,INACTIVE,6/11/2017,6/4/2026 0:41
DV000142,DLF,India,Tier-1,Mid,Hyderabad,TS,INACTIVE,1/2/2017,9/1/2026 9:17
DV000143,Shapoorji Pallonji,India,Tier-2,Luxury,Pune,MH,ACTIVE,9/2/2012,6/28/2026 7:17
DV000144,Shapoorji Pallonji,India,Tier-2,Affordable,Mumbai,MH,INACTIVE,3/18/2006,3/21/2026 8:44
DV000145,Hiranandani,India,Tier-1,Mid,Delhi,DL,INACTIVE,10/5/2014,5/27/2026 16:03
DV000146,Puravankara,India,Tier-1,Premium,Delhi,DL,ACTIVE,9/21/2008,6/2/2026 20:38
DV000147,Hiranandani,India,Tier-2,Premium,Hyderabad,TS,INACTIVE,7/19/2012,4/9/2026 9:25
DV000148,Runwal Group,India,Tier-1,Mid,Kolkata,WB,ACTIVE,9/20/2017,5/26/2026 10:40
DV000149,Lodha Group,India,Tier-1,Premium,Delhi,DL,INACTIVE,8/16/2011,5/23/2026 16:46
DV000150,Godrej Properties,India,Tier-2,Premium,Gurugram,HR,INACTIVE,1/2/2009,11/11/2026 21:45
DV000151,TVS Emerald,India,Tier-1,Mid,Gurugram,HR,INACTIVE,2/27/2019,6/11/2026 11:41
DV000152,Raheja Developers,India,Tier-1,Premium,Bengaluru,KA,INACTIVE,1/26/2016,4/3/2026 16:33
DV000153,Runwal Group,India,Tier-2,Mid,Mumbai,MH,INACTIVE,9/3/2009,7/15/2026 11:46
DV000154,Kolte Patil,India,Tier-1,Mid,Mumbai,MH,INACTIVE,5/29/2011,11/25/2026 3:08
DV000155,Shapoorji Pallonji,India,Tier-1,Affordable,Chennai,TN,ACTIVE,8/2/2015,3/11/2026 3:42
DV000156,Sobha,India,Tier-2,Luxury,Pune,MH,INACTIVE,1/26/2012,10/15/2026 1:20
DV000157,Tata Housing,India,Tier-1,Luxury,Gurugram,HR,ACTIVE,9/21/2012,5/17/2026 17:56
DV000158,Tata Housing,India,Tier-1,Premium,Hyderabad,TS,INACTIVE,4/28/2020,1/22/2026 14:05
DV000159,Kolte Patil,India,Tier-2,Premium,Pune,MH,ACTIVE,9/3/2011,2/22/2026 11:14
DV000160,Hiranandani,India,Tier-1,Luxury,Pune,MH,INACTIVE,2/11/2010,4/16/2026 8:32
DV000161,Oberoi Realty,India,Tier-2,Luxury,Bengaluru,KA,INACTIVE,6/22/2011,12/14/2026 9:15
DV000162,Raheja Developers,India,Tier-1,Luxury,Chennai,TN,INACTIVE,3/6/2014,12/13/2026 2:25
DV000163,Brigade Group,India,Tier-1,Luxury,Bengaluru,KA,ACTIVE,4/6/2015,5/20/2026 10:16
DV000164,Sobha,India,Tier-1,Mid,Chennai,TN,INACTIVE,4/9/2017,1/27/2026 19:07
DV000165,Godrej Properties,India,Tier-1,Affordable,Noida,UP,ACTIVE,12/7/2008,1/3/2026 5:25
DV000166,Godrej Properties,India,Tier-2,Mid,Mumbai,MH,INACTIVE,5/29/2005,1/14/2026 19:04
DV000167,Tata Housing,India,Tier-1,Premium,Mumbai,MH,INACTIVE,10/28/2015,1/5/2026 14:22
DV000168,Embassy Group,India,Tier-1,Affordable,Bengaluru,KA,INACTIVE,8/10/2011,9/23/2026 0:02
DV000169,Hiranandani,India,Tier-2,Mid,Hyderabad,TS,ACTIVE,7/29/2010,4/8/2026 10:38
DV000170,Kolte Patil,India,Tier-2,Affordable,Hyderabad,TS,ACTIVE,2/13/2011,10/18/2026 7:18
DV000171,Runwal Group,India,Tier-2,Premium,Delhi,DL,INACTIVE,7/15/2005,3/22/2026 18:00
DV000172,Runwal Group,India,Tier-1,Premium,Delhi,DL,ACTIVE,9/4/2006,1/21/2026 5:15
DV000173,Kolte Patil,India,Tier-2,Mid,Delhi,DL,ACTIVE,2/24/2011,5/6/2026 6:55
DV000174,Tata Housing,India,Tier-2,Luxury,Gurugram,HR,ACTIVE,6/10/2020,7/3/2026 5:14
DV000175,Prestige Group,India,Tier-2,Affordable,Pune,MH,INACTIVE,1/18/2005,8/19/2026 1:39
DV000176,Kolte Patil,India,Tier-1,Affordable,Noida,UP,INACTIVE,4/15/2018,6/25/2026 0:55
DV000177,Hiranandani,India,Tier-2,Affordable,Gurugram,HR,ACTIVE,3/2/2014,10/18/2026 22:12
DV000178,Lodha Group,India,Tier-1,Affordable,Bengaluru,KA,ACTIVE,11/23/2012,11/26/2026 4:29
DV000179,Embassy Group,India,Tier-2,Luxury,Kolkata,WB,INACTIVE,4/19/2017,9/25/2026 13:56
DV000180,Shapoorji Pallonji,India,Tier-1,Affordable,Delhi,DL,INACTIVE,10/19/2013,7/15/2026 21:01
DV000181,Oberoi Realty,India,Tier-2,Premium,Noida,UP,INACTIVE,7/27/2013,5/9/2026 6:39
DV000182,Lodha Group,India,Tier-2,Affordable,Kolkata,WB,INACTIVE,7/5/2016,5/3/2026 3:42
DV000183,Lodha Group,India,Tier-2,Mid,Noida,UP,INACTIVE,12/9/2008,9/20/2026 18:25
DV000184,Sobha,India,Tier-2,Luxury,Pune,MH,INACTIVE,1/4/2011,2/9/2026 23:16
DV000185,Prestige Group,India,Tier-2,Mid,Hyderabad,TS,ACTIVE,7/22/2017,10/9/2026 3:55
DV000186,Hiranandani,India,Tier-2,Affordable,Delhi,DL,ACTIVE,6/7/2014,3/30/2026 16:19
DV000187,Mahindra Lifespaces,India,Tier-2,Luxury,Noida,UP,INACTIVE,7/2/2015,4/27/2026 17:30
DV000188,Sobha,India,Tier-1,Mid,Pune,MH,ACTIVE,1/20/2016,4/27/2026 2:47
DV000189,Prestige Group,India,Tier-2,Premium,Hyderabad,TS,INACTIVE,12/16/2011,7/18/2026 23:58
DV000190,Phoenix Mills,India,Tier-1,Affordable,Delhi,DL,INACTIVE,12/24/2009,1/23/2026 13:46
DV000191,Runwal Group,India,Tier-1,Affordable,Chennai,TN,ACTIVE,1/7/2010,3/6/2026 23:41
DV000192,Mahindra Lifespaces,India,Tier-2,Mid,Delhi,DL,ACTIVE,7/12/2008,12/7/2026 11:30
DV000193,Mahindra Lifespaces,India,Tier-2,Luxury,Kolkata,WB,ACTIVE,4/26/2009,6/12/2026 15:29
DV000194,Lodha Group,India,Tier-1,Premium,Chennai,TN,INACTIVE,12/25/2005,2/21/2026 9:16
DV000195,Shapoorji Pallonji,India,Tier-1,Luxury,Kolkata,WB,INACTIVE,6/15/2006,7/22/2026 23:48
DV000196,Sobha,India,Tier-1,Premium,Noida,UP,ACTIVE,4/5/2020,1/9/2026 23:09
DV000197,TVS Emerald,India,Tier-2,Luxury,Bengaluru,KA,INACTIVE,9/29/2018,7/5/2026 21:18
DV000198,Hiranandani,India,Tier-1,Luxury,Pune,MH,ACTIVE,7/30/2012,3/6/2026 19:19
DV000199,TVS Emerald,India,Tier-2,Premium,Bengaluru,KA,INACTIVE,2/19/2016,5/28/2026 1:44
DV000200,Mahindra Lifespaces,India,Tier-2,Luxury,Bengaluru,KA,INACTIVE,11/5/2017,8/5/2026 0:05
DV000201,Oberoi Realty,India,Tier-2,Mid,Gurugram,HR,INACTIVE,5/9/2019,3/10/2026 8:46
DV000202,Puravankara,India,Tier-1,Mid,Kolkata,WB,ACTIVE,11/30/2019,9/13/2026 23:03
DV000203,Mahindra Lifespaces,India,Tier-1,Luxury,Mumbai,MH,ACTIVE,4/14/2014,1/4/2026 8:26
DV000204,Puravankara,India,Tier-1,Premium,Gurugram,HR,ACTIVE,12/23/2008,8/27/2026 4:06
DV000205,Kolte Patil,India,Tier-2,Premium,Mumbai,MH,ACTIVE,6/11/2005,10/23/2026 0:20
DV000206,Hiranandani,India,Tier-1,Premium,Kolkata,WB,INACTIVE,11/26/2017,10/30/2026 15:18
DV000207,Sobha,India,Tier-1,Mid,Hyderabad,TS,ACTIVE,8/17/2015,2/13/2026 16:55
DV000208,Tata Housing,India,Tier-2,Luxury,Mumbai,MH,ACTIVE,1/15/2017,8/25/2026 16:05
DV000209,Sobha,India,Tier-1,Premium,Delhi,DL,INACTIVE,3/20/2016,2/14/2026 22:12
DV000210,Phoenix Mills,India,Tier-1,Mid,Chennai,TN,ACTIVE,3/16/2018,8/20/2026 21:19
DV000211,TVS Emerald,India,Tier-1,Mid,Pune,MH,INACTIVE,10/1/2006,10/28/2026 23:47
DV000212,Puravankara,India,Tier-2,Mid,Delhi,DL,ACTIVE,7/5/2011,6/4/2026 14:14
DV000213,Sobha,India,Tier-2,Mid,Gurugram,HR,ACTIVE,5/3/2019,11/22/2026 7:06
DV000214,Embassy Group,India,Tier-1,Premium,Hyderabad,TS,ACTIVE,1/6/2015,8/5/2026 12:50
DV000215,Oberoi Realty,India,Tier-1,Mid,Kolkata,WB,ACTIVE,9/1/2011,6/10/2026 9:44
DV000216,Kolte Patil,India,Tier-2,Premium,Pune,MH,ACTIVE,9/14/2012,8/29/2026 9:41
DV000217,Godrej Properties,India,Tier-2,Mid,Pune,MH,ACTIVE,6/25/2007,2/8/2026 13:59
DV000218,Raheja Developers,India,Tier-2,Luxury,Noida,UP,INACTIVE,3/23/2019,5/3/2026 11:43
DV000219,Oberoi Realty,India,Tier-2,Affordable,Pune,MH,INACTIVE,5/8/2005,5/8/2026 19:10
DV000220,Kolte Patil,India,Tier-2,Affordable,Hyderabad,TS,ACTIVE,4/6/2011,4/29/2026 1:19
DV000221,Phoenix Mills,India,Tier-2,Luxury,Noida,UP,ACTIVE,8/14/2012,5/25/2026 21:11
DV000222,Brigade Group,India,Tier-1,Premium,Hyderabad,TS,INACTIVE,10/6/2020,2/24/2026 18:55
DV000223,Oberoi Realty,India,Tier-2,Premium,Pune,MH,INACTIVE,11/20/2013,3/30/2026 20:16
DV000224,TVS Emerald,India,Tier-1,Affordable,Gurugram,HR,ACTIVE,2/3/2019,1/17/2026 2:32
DV000225,Raheja Developers,India,Tier-1,Mid,Mumbai,MH,INACTIVE,12/26/2008,7/9/2026 11:58
DV000226,Hiranandani,India,Tier-2,Affordable,Mumbai,MH,ACTIVE,11/17/2010,5/22/2026 7:47
DV000227,Shapoorji Pallonji,India,Tier-1,Premium,Bengaluru,KA,INACTIVE,1/4/2006,2/12/2026 1:02
DV000228,Raheja Developers,India,Tier-1,Premium,Gurugram,HR,INACTIVE,8/25/2011,3/15/2026 21:45
DV000229,TVS Emerald,India,Tier-1,Luxury,Chennai,TN,INACTIVE,4/5/2016,11/7/2026 0:30
DV000230,Runwal Group,India,Tier-1,Mid,Bengaluru,KA,ACTIVE,5/13/2018,9/12/2026 15:15
DV000231,Embassy Group,India,Tier-1,Affordable,Chennai,TN,ACTIVE,1/6/2017,1/7/2026 8:05
DV000232,Oberoi Realty,India,Tier-1,Mid,Pune,MH,ACTIVE,9/29/2013,4/12/2026 16:25
DV000233,Puravankara,India,Tier-1,Luxury,Pune,MH,ACTIVE,6/10/2019,8/12/2026 19:55
DV000234,Mahindra Lifespaces,India,Tier-2,Luxury,Kolkata,WB,ACTIVE,5/25/2018,9/9/2026 7:35
